SR NO,CUSTOMER NAME,PART NUMBER,SERIAL NUMBER,CONFIG VERSION,M1000 MAC ID,OPERATOR,TEST DATE,TEST TIME,PHYSICAL TEST,CONTROLLER TEST,COMMUNICATION TEST,TEMPERATURE TEST,OUTPUT/INPUT PFC,DC VOLTAGE TEST,DC VOLTAGE CALIBRATION,DC CURRENT TEST,DC CURRENT CALIBRATION,LVD TEST,SMR REGISTRATION TEST,AC PHASE ALLOCATION TEST,DC CURRENT SHARING/ BUS DROP TEST,RS-485 TEST,DEFAULT SETTING,FLOAT VOLTAGE (VDC),CHARGE VOLTAGE (VDC),BATTERY LVD SET(VDC)/RESTORE(VDC),LOAD LVD SET(VDC)/RESTORE(VDC),DC VOLTAGE LOW(VDC)/RESTORE(VDC),AC LOW CUT-OFF(VAC)/CUT-IN(VAC),AC HIGH CUT-OFF(VAC)/CUT-IN(VAC),SMR COUNT/ SOLAR CHARGER COUNT,VRLA: BATTERY CAPACITY/ FACTOR,LI-ON BATTERY/ FACTOR,RESULT
1079,RELIANCE,HE518989,D82310478900045,54.08,12:12:12:12:12:12,PARAS,14/10/2023,9:31:00,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,54,55.2,44.0/48.0,46.0/50.0,44.0/44.5,90/100,300/290,5/NA,600/10,75/24/2,FAIL
1080,RELIANCE,HE518989,D82310478900046,54.08,12:12:12:12:12:12,PARAS,15/10/2023,10:31:00,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,54,55.2,44.0/48.0,46.0/50.0,44.0/44.5,90/100,300/290,5/NA,600/10,75/24/2,PASS
1081,RELIANCE,HE518989,D82310478900047,54.08,12:12:12:12:12:12,PARAS,16/10/2023,11:31:00,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,54,55.2,44.0/48.0,46.0/50.0,44.0/44.5,90/100,300/290,5/NA,600/10,75/24/2,PASS
1082,RELIANCE,HE518989,D82310478900048,54.08,12:12:12:12:12:12,PARAS,17/10/2023,12:31:00,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,54,55.2,44.0/48.0,46.0/50.0,44.0/44.5,90/100,300/290,5/NA,600/10,75/24/2,PASS
1083,RELIANCE,HE518989,D82310478900049,54.08,12:12:12:12:12:12,PARAS,18/10/2023,13:31:00,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,54,55.2,44.0/48.0,46.0/50.0,44.0/44.5,90/100,300/290,5/NA,600/10,75/24/2,PASS
1084,RELIANCE,HE518989,D82310478900050,54.08,12:12:12:12:12:12,PARAS,19/10/2023,14:31:00,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,54,55.2,44.0/48.0,46.0/50.0,44.0/44.5,90/100,300/290,5/NA,600/10,75/24/2,PASS
1085,RELIANCE,HE518989,D82310478900051,54.08,12:12:12:12:12:12,PARAS,20/10/2023,15:31:00,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,54,55.2,44.0/48.0,46.0/50.0,44.0/44.5,90/100,300/290,5/NA,600/10,75/24/2,PASS
1086,RELIANCE,HE518989,D82310478900052,54.08,12:12:12:12:12:12,PARAS,21/10/2023,16:31:00,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,54,55.2,44.0/48.0,46.0/50.0,44.0/44.5,90/100,300/290,5/NA,600/10,75/24/2,FAIL
1087,RELIANCE,HE518989,D82310478900053,54.08,12:12:12:12:12:12,PARAS,22/10/2023,17:31:00,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,54,55.2,44.0/48.0,46.0/50.0,44.0/44.5,90/100,300/290,5/NA,600/10,75/24/2,FAIL
1088,RELIANCE,HE518989,D82310478900054,54.08,12:12:12:12:12:12,PARAS,23/10/2023,18:31:00,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,54,55.2,44.0/48.0,46.0/50.0,44.0/44.5,90/100,300/290,5/NA,600/10,75/24/2,FAIL
